20250413,松树菌,内蒙古赤峰市宁城县,12.75元/斤,
20250413,松树菌,湖北襄阳市保康县,18.7元/斤,
20250413,松树菌,湖北襄阳市南漳县,28.62元/斤,
20250413,松树菌,湖北神农架林区神农架林区,25.5元/斤,
20250413,松树菌,重庆市石柱土家族自治县,8.5元/斤,
20250413,元蘑,吉林通化市东昌区,59.5元/斤,
20250413,元蘑,吉林通化市通化县,61.63元/斤,
20250413,元蘑,吉林白山市抚松县,60.35元/斤,
20250413,珊瑚菌,河南驻马店市平舆县,34元/斤,
20250413,鹿茸菇,河北石家庄市长安区,28.9元/斤,
20250413,鹿茸菇,辽宁沈阳市和平区,24.65元/斤,
20250413,鹿茸菇,江苏镇江市丹阳市,25.64元/斤,
20250413,鹿茸菇,福建宁德市古田县,25.35元/斤,0.12%
20250413,鹿茸菇,福建宁德市周宁县,31.66元/斤,
20250413,鹿茸菇,江西宜春市袁州区,25.42元/斤,
